video_id,dataset,n_frames,n_frames_with_dets,n_frames_with_masks,total_detections,total_masks,avg_masks_per_frame,avg_mask_area_px,coverage_rate,processing_time_s
676,cbvd5,6,6,6,29,29,4.83,30374.5,1.0,2.99
677,cbvd5,6,6,6,14,14,2.33,23665.1,1.0,2.92
678,cbvd5,6,6,6,19,19,3.17,18223.7,1.0,2.98
679,cbvd5,6,5,5,5,5,0.83,54504.8,1.0,2.41
68,cbvd5,6,0,0,0,0,0.0,0.0,0.0,0.06
680,cbvd5,6,1,1,1,1,0.17,55996.0,1.0,0.55
681,cbvd5,6,2,2,2,2,0.33,31662.0,1.0,0.98
682,cbvd5,6,4,4,4,4,0.67,57486.8,1.0,1.81
683,cbvd5,6,0,0,0,0,0.0,0.0,0.0,0.05
684,cbvd5,6,6,6,8,8,1.33,51219.2,1.0,2.85
685,cbvd5,6,6,6,6,6,1.0,56741.2,1.0,2.94
686,cbvd5,6,6,6,6,6,1.0,56873.2,1.0,2.8
687,cbvd5,6,6,6,8,8,1.33,44687.2,1.0,2.87
688,cbvd5,6,6,6,60,60,10.0,30356.4,1.0,3.42
689,cbvd5,6,6,6,44,44,7.33,38116.0,1.0,3.14
69,cbvd5,6,0,0,0,0,0.0,0.0,0.0,0.05
7,cbvd5,6,6,6,18,18,3.0,36188.9,1.0,3.18
70,cbvd5,6,0,0,0,0,0.0,0.0,0.0,0.04
71,cbvd5,6,6,6,6,6,1.0,1011.5,1.0,2.78
72,cbvd5,6,0,0,0,0,0.0,0.0,0.0,0.06
73,cbvd5,6,0,0,0,0,0.0,0.0,0.0,0.05
74,cbvd5,6,6,6,20,20,3.33,26990.8,1.0,3.08
75,cbvd5,6,6,6,49,49,8.17,26009.9,1.0,3.35
76,cbvd5,6,6,6,30,30,5.0,28023.3,1.0,3.14
77,cbvd5,6,6,6,30,30,5.0,25180.6,1.0,3.19
78,cbvd5,6,6,6,18,18,3.0,29943.2,1.0,3.19
79,cbvd5,6,6,6,6,6,1.0,22856.3,1.0,2.8
8,cbvd5,6,6,6,36,36,6.0,11689.1,1.0,3.33
80,cbvd5,6,6,6,24,24,4.0,23312.2,1.0,3.01
81,cbvd5,6,6,6,27,27,4.5,25494.9,1.0,3.18
82,cbvd5,6,6,6,22,22,3.67,25990.4,1.0,3.04
83,cbvd5,6,6,6,30,30,5.0,29370.2,1.0,3.27
84,cbvd5,6,6,6,11,11,1.83,30695.8,1.0,2.96
85,cbvd5,6,6,6,22,22,3.67,12657.7,1.0,3.04
86,cbvd5,6,6,6,6,6,1.0,15104.0,1.0,3.02
87,cbvd5,6,0,0,0,0,0.0,0.0,0.0,0.05
88,cbvd5,6,6,6,18,18,3.0,12814.9,1.0,3.0
89,cbvd5,6,6,6,24,24,4.0,9905.5,1.0,3.13
9,cbvd5,6,6,6,24,24,4.0,14404.8,1.0,3.21
90,cbvd5,6,4,4,4,4,0.67,19271.2,1.0,2.04
91,cbvd5,6,2,2,2,2,0.33,99678.0,1.0,0.98
92,cbvd5,6,6,6,6,6,1.0,26768.2,1.0,2.88
93,cbvd5,6,6,6,15,15,2.5,28356.3,1.0,2.96
94,cbvd5,6,6,6,14,14,2.33,32738.9,1.0,3.09
95,cbvd5,6,6,6,46,46,7.67,12681.3,1.0,3.37
96,cbvd5,6,0,0,0,0,0.0,0.0,0.0,0.05
97,cbvd5,6,6,6,41,41,6.83,25441.2,1.0,3.24
98,cbvd5,6,5,5,7,7,1.17,491202.1,1.0,2.39
99,cbvd5,6,6,6,48,48,8.0,15403.6,1.0,3.38
