dataset,video_id,track_id,label_id,behavior,duration_sec,pct_time
inference,"D0C2.68(GrW,2RE)",track_0010,2,Foraging,1.066,19.9887
inference,"D0C2.68(GrW,2RE)",track_0010,3,Drinking,0.0,0.0
inference,"D0C2.68(GrW,2RE)",track_0010,4,Ruminating,0.0,0.0
inference,"D0C2.68(GrW,2RE)",track_0010,5,Grooming,0.0,0.0
inference,"D0C2.68(GrW,2RE)",track_0010,6,Other,4.267,80.0113
inference,"D0C2.68(GrW,2RE)",track_0015,0,Standing,0.0,0.0
inference,"D0C2.68(GrW,2RE)",track_0015,1,Lying,0.0,0.0
inference,"D0C2.68(GrW,2RE)",track_0015,2,Foraging,2.665,11.6203
inference,"D0C2.68(GrW,2RE)",track_0015,3,Drinking,0.0,0.0
inference,"D0C2.68(GrW,2RE)",track_0015,4,Ruminating,0.0,0.0
inference,"D0C2.68(GrW,2RE)",track_0015,5,Grooming,4.001,17.4457
inference,"D0C2.68(GrW,2RE)",track_0015,6,Other,16.268,70.934
inference,"D0C2.68(GrW,2RE)",track_0018,0,Standing,0.0,0.0
inference,"D0C2.68(GrW,2RE)",track_0018,1,Lying,0.0,0.0
inference,"D0C2.68(GrW,2RE)",track_0018,2,Foraging,0.0,0.0
inference,"D0C2.68(GrW,2RE)",track_0018,3,Drinking,0.0,0.0
inference,"D0C2.68(GrW,2RE)",track_0018,4,Ruminating,0.0,0.0
inference,"D0C2.68(GrW,2RE)",track_0018,5,Grooming,0.534,4.3531
inference,"D0C2.68(GrW,2RE)",track_0018,6,Other,11.733,95.6469
inference,"D0C2.68(GrW,2RE)",track_0019,0,Standing,0.0,0.0
inference,"D0C2.68(GrW,2RE)",track_0019,1,Lying,0.0,0.0
inference,"D0C2.68(GrW,2RE)",track_0019,2,Foraging,0.0,0.0
inference,"D0C2.68(GrW,2RE)",track_0019,3,Drinking,0.0,0.0
inference,"D0C2.68(GrW,2RE)",track_0019,4,Ruminating,0.0,0.0
inference,"D0C2.68(GrW,2RE)",track_0019,5,Grooming,0.0,0.0
inference,"D0C2.68(GrW,2RE)",track_0019,6,Other,0.533,100.0
inference,"D0C2.68(GrW,2RE)",track_0020,0,Standing,0.0,0.0
inference,"D0C2.68(GrW,2RE)",track_0020,1,Lying,0.0,0.0
inference,"D0C2.68(GrW,2RE)",track_0020,2,Foraging,2.4,16.9803
inference,"D0C2.68(GrW,2RE)",track_0020,3,Drinking,0.0,0.0
inference,"D0C2.68(GrW,2RE)",track_0020,4,Ruminating,0.0,0.0
inference,"D0C2.68(GrW,2RE)",track_0020,5,Grooming,0.534,3.7781
inference,"D0C2.68(GrW,2RE)",track_0020,6,Other,11.2,79.2415
inference,"D0C2.68(GrW,2RE)",track_0022,0,Standing,0.0,0.0
